date, gender,trip_on_days
2019-07-01,0,6063
2019-07-01,1,52961
2019-07-01,2,19214
2019-07-02,2,19147
2019-07-02,0,5477
2019-07-02,1,53534
2019-07-03,0,6132
2019-07-03,2,18236
2019-07-03,1,49855
2019-07-04,2,13950
2019-07-04,1,29636
2019-07-04,0,9126
2019-07-05,1,36108
2019-07-05,0,8127
2019-07-05,2,14488
2019-07-06,0,8044
2019-07-06,1,29673
2019-07-06,2,13180
2019-07-07,1,36071
2019-07-07,2,16474
2019-07-07,0,8940
2019-07-08,0,4801
2019-07-08,2,16415
2019-07-08,1,46814
2019-07-09,1,57170
2019-07-09,2,20992
2019-07-09,0,5546
2019-07-10,1,57705
2019-07-10,2,20991
2019-07-10,0,5523
2019-07-11,0,3149
2019-07-11,2,12959
2019-07-11,1,38387
2019-07-12,0,6222
2019-07-12,2,19790
2019-07-12,1,55063
2019-07-13,2,20183
2019-07-13,1,45713
2019-07-13,0,10964
2019-07-14,0,9591
2019-07-14,2,17724
2019-07-14,1,40596
2019-07-15,0,5870
2019-07-15,1,54882
2019-07-15,2,20301
2019-07-16,0,5609
2019-07-16,1,57803
2019-07-16,2,21157
2019-07-17,1,48121
2019-07-17,2,16990
2019-07-17,0,4058
2019-07-18,2,14274
2019-07-18,1,43357
2019-07-18,0,3436
2019-07-19,2,18317
2019-07-19,0,6030
2019-07-19,1,50707
2019-07-20,0,6442
2019-07-20,1,31260
2019-07-20,2,12874
2019-07-21,2,12389
2019-07-21,1,30187
2019-07-21,0,5622
2019-07-22,2,12365
2019-07-22,1,36800
2019-07-22,0,3211
2019-07-23,2,15604
2019-07-23,1,46861
2019-07-23,0,3813
2019-07-24,0,6086
2019-07-24,1,59589
2019-07-24,2,21969
2019-07-25,1,58757
2019-07-25,2,21301
2019-07-25,0,6382
2019-07-26,0,7117
2019-07-26,2,20232
2019-07-26,1,55528
2019-07-27,1,42298
2019-07-27,0,10758
2019-07-27,2,19189
2019-07-28,1,40206
2019-07-28,0,9200
2019-07-28,2,18262
2019-07-29,0,5531
2019-07-29,1,53724
2019-07-29,2,19501
2019-07-30,2,19994
2019-07-30,0,5275
2019-07-30,1,55465
2019-07-31,0,3884
2019-07-31,2,15461
2019-07-31,1,46227
