date, avg_tripduration_on_days_sec,avg_tripduration_on_days_hms
2019-11-01,938.0,00:15:38
2019-11-02,1072.0,00:17:52
2019-11-03,1031.0,00:17:11
2019-11-04,872.0,00:14:32
2019-11-05,853.0,00:14:13
2019-11-06,823.0,00:13:43
2019-11-07,770.0,00:12:50
2019-11-08,799.0,00:13:19
2019-11-09,947.0,00:15:47
2019-11-10,942.0,00:15:42
2019-11-11,866.0,00:14:26
2019-11-12,681.0,00:11:21
2019-11-13,686.0,00:11:26
2019-11-14,721.0,00:12:01
2019-11-15,753.0,00:12:33
2019-11-16,888.0,00:14:48
2019-11-17,796.0,00:13:16
2019-11-18,746.0,00:12:26
2019-11-19,762.0,00:12:42
2019-11-20,778.0,00:12:58
2019-11-21,774.0,00:12:54
2019-11-22,765.0,00:12:45
2019-11-23,901.0,00:15:01
2019-11-24,691.0,00:11:31
2019-11-25,803.0,00:13:23
2019-11-26,819.0,00:13:39
2019-11-27,862.0,00:14:22
2019-11-28,1095.0,00:18:15
2019-11-29,800.0,00:13:20
2019-11-30,935.0,00:15:35
